group_name,run_name,fine_clarabel_solve_time_s,set_avg_fine_clarabel_solve_time_s
cgl_offset_descent_med,cgl_offset_descent_med_1,0.931254,
cgl_offset_descent_med,cgl_offset_descent_med_2,0.899587,
cgl_offset_descent_med,cgl_offset_descent_med_3,0.914661,
cgl_offset_descent_med,cgl_offset_descent_med_4,0.936685,
cgl_offset_descent_med,cgl_offset_descent_med_5,0.938236,
cgl_offset_descent_med,cgl_offset_descent_med_6,0.948413,
cgl_offset_descent_med,cgl_offset_descent_med_7,0.934076,
cgl_offset_descent_med,cgl_offset_descent_med_8,0.931329,
cgl_offset_descent_med,cgl_offset_descent_med_9,0.905694,
cgl_offset_descent_med,cgl_offset_descent_med_10,0.905511,
cgl_offset_descent_med,set_1_avg,,0.924545
zoh_offset_descent_med,zoh_offset_descent_med_1,1.045219,
zoh_offset_descent_med,zoh_offset_descent_med_2,1.049564,
zoh_offset_descent_med,zoh_offset_descent_med_3,1.053711,
zoh_offset_descent_med,zoh_offset_descent_med_4,1.053987,
zoh_offset_descent_med,zoh_offset_descent_med_5,1.092044,
zoh_offset_descent_med,zoh_offset_descent_med_6,1.078832,
zoh_offset_descent_med,zoh_offset_descent_med_7,1.073769,
zoh_offset_descent_med,zoh_offset_descent_med_8,1.080979,
zoh_offset_descent_med,zoh_offset_descent_med_9,1.076659,
zoh_offset_descent_med,zoh_offset_descent_med_10,1.102266,
zoh_offset_descent_med,set_1_avg,,1.070703
