group_name,run_name,method,fine_clarabel_solve_time_s,time_of_flight_s,zoh_coarse_dt_s,zoh_fine_dt_s,cgl_fine_search_delta_t_s,cgl_fine_nodes,set_avg_fine_clarabel_solve_time_s,set_std_error_fine_clarabel_solve_time_s
zoh_offset_limited_descent_short,zoh_offset_limited_descent_short_1,zoh,1.594582,12.000000,0.100000,0.050000,0.010000,30,,
zoh_offset_limited_descent_short,zoh_offset_limited_descent_short_2,zoh,1.600489,12.000000,0.100000,0.050000,0.010000,30,,
zoh_offset_limited_descent_short,zoh_offset_limited_descent_short_3,zoh,1.568693,12.000000,0.100000,0.050000,0.010000,30,,
zoh_offset_limited_descent_short,zoh_offset_limited_descent_short_4,zoh,1.567214,12.000000,0.100000,0.050000,0.010000,30,,
zoh_offset_limited_descent_short,zoh_offset_limited_descent_short_5,zoh,1.620754,12.000000,0.100000,0.050000,0.010000,30,,
zoh_offset_limited_descent_short,zoh_offset_limited_descent_short_6,zoh,1.637696,12.000000,0.100000,0.050000,0.010000,30,,
zoh_offset_limited_descent_short,zoh_offset_limited_descent_short_7,zoh,1.634435,12.000000,0.100000,0.050000,0.010000,30,,
zoh_offset_limited_descent_short,zoh_offset_limited_descent_short_8,zoh,1.616975,12.000000,0.100000,0.050000,0.010000,30,,
zoh_offset_limited_descent_short,zoh_offset_limited_descent_short_9,zoh,1.593152,12.000000,0.100000,0.050000,0.010000,30,,
zoh_offset_limited_descent_short,zoh_offset_limited_descent_short_10,zoh,1.594486,12.000000,0.100000,0.050000,0.010000,30,,
zoh_offset_limited_descent_short,set_1_avg,zoh,,12.000000,0.100000,0.050000,0.010000,30,1.602848,0.007751
cgl_offset_limited_descent_short,cgl_offset_limited_descent_short_1,cgl,1.604990,11.980000,0.050000,0.050000,0.010000,34,,
cgl_offset_limited_descent_short,cgl_offset_limited_descent_short_2,cgl,1.603561,11.980000,0.050000,0.050000,0.010000,34,,
cgl_offset_limited_descent_short,cgl_offset_limited_descent_short_3,cgl,1.598873,11.980000,0.050000,0.050000,0.010000,34,,
cgl_offset_limited_descent_short,cgl_offset_limited_descent_short_4,cgl,1.600292,11.980000,0.050000,0.050000,0.010000,34,,
cgl_offset_limited_descent_short,cgl_offset_limited_descent_short_5,cgl,1.625473,11.980000,0.050000,0.050000,0.010000,34,,
cgl_offset_limited_descent_short,cgl_offset_limited_descent_short_6,cgl,1.624854,11.980000,0.050000,0.050000,0.010000,34,,
cgl_offset_limited_descent_short,cgl_offset_limited_descent_short_7,cgl,1.653621,11.980000,0.050000,0.050000,0.010000,34,,
cgl_offset_limited_descent_short,cgl_offset_limited_descent_short_8,cgl,1.617851,11.980000,0.050000,0.050000,0.010000,34,,
cgl_offset_limited_descent_short,cgl_offset_limited_descent_short_9,cgl,1.617879,11.980000,0.050000,0.050000,0.010000,34,,
cgl_offset_limited_descent_short,cgl_offset_limited_descent_short_10,cgl,1.622515,11.980000,0.050000,0.050000,0.010000,34,,
cgl_offset_limited_descent_short,set_1_avg,cgl,,11.980000,0.050000,0.050000,0.010000,34,1.616991,0.005206
